acupoint_id,point_code,meridian_code,body_region,location_description,functions,indications
1,LU1,LU,,,,
2,LU2,LU,,,,
3,LU3,LU,,,,
4,LU4,LU,,,,
5,LU5,LU,,,,
6,LU6,LU,,,,
7,LU7,LU,,,,
8,LU8,LU,,,,
9,LU9,LU,,,,
10,LU10,LU,,,,
11,LU11,LU,,,,
12,LI1,LI,,,,
13,LI2,LI,,,,
14,LI3,LI,,,,
15,LI4,LI,,,,
16,LI5,LI,,,,
17,LI6,LI,,,,
18,LI7,LI,,,,
19,LI8,LI,,,,
20,LI9,LI,,,,
21,LI10,LI,,,,
22,LI11,LI,,,,
23,LI12,LI,,,,
24,LI13,LI,,,,
25,LI14,LI,,,,
26,LI15,LI,,,,
27,LI16,LI,,,,
28,LI17,LI,,,,
29,LI18,LI,,,,
30,LI19,LI,,,,
31,LI20,LI,,,,
32,ST1,ST,,,,
33,ST2,ST,,,,
34,ST3,ST,,,,
35,ST4,ST,,,,
36,ST5,ST,,,,
37,ST6,ST,,,,
38,ST7,ST,,,,
39,ST8,ST,,,,
40,ST9,ST,,,,
41,ST10,ST,,,,
42,ST11,ST,,,,
43,ST12,ST,,,,
44,ST13,ST,,,,
45,ST14,ST,,,,
46,ST15,ST,,,,
47,ST16,ST,,,,
48,ST17,ST,,,,
49,ST18,ST,,,,
50,ST19,ST,,,,
51,ST20,ST,,,,
52,ST21,ST,,,,
53,ST22,ST,,,,
54,ST23,ST,,,,
55,ST24,ST,,,,
56,ST25,ST,,,,
57,ST26,ST,,,,
58,ST27,ST,,,,
59,ST28,ST,,,,
60,ST29,ST,,,,
61,ST30,ST,,,,
62,ST31,ST,,,,
63,ST32,ST,,,,
64,ST33,ST,,,,
65,ST34,ST,,,,
66,ST35,ST,,,,
67,ST36,ST,,,,
68,ST37,ST,,,,
69,ST38,ST,,,,
70,ST39,ST,,,,
71,ST40,ST,,,,
72,ST41,ST,,,,
73,ST42,ST,,,,
74,ST43,ST,,,,
75,ST44,ST,,,,
76,ST45,ST,,,,
77,SP1,SP,,,,
78,SP2,SP,,,,
79,SP3,SP,,,,
80,SP4,SP,,,,
81,SP5,SP,,,,
82,SP6,SP,,,,
83,SP7,SP,,,,
84,SP8,SP,,,,
85,SP9,SP,,,,
86,SP10,SP,,,,
87,SP11,SP,,,,
88,SP12,SP,,,,
89,SP13,SP,,,,
90,SP14,SP,,,,
91,SP15,SP,,,,
92,SP16,SP,,,,
93,SP17,SP,,,,
94,SP18,SP,,,,
95,SP19,SP,,,,
96,SP20,SP,,,,
97,SP21,SP,,,,
98,HT1,HT,,,,
99,HT2,HT,,,,
100,HT3,HT,,,,
101,HT4,HT,,,,
102,HT5,HT,,,,
