relation_id,source_type,source_id,relation_type,target_type,target_id
1,symptom,258,treats,acupoint,96
2,symptom,559,treats,symptom,261
3,symptom,692,related_to,symptom,553
4,acupoint,605,treats,symptom,8
5,disease,791,supports,disease,505
6,acupoint,442,related_to,symptom,392
7,symptom,204,treats,acupoint,776
8,acupoint,604,supports,symptom,441
9,disease,98,related_to,symptom,59
10,acupoint,349,related_to,symptom,556
11,symptom,297,related_to,disease,59
12,symptom,342,supports,symptom,368
13,symptom,540,supports,acupoint,757
14,symptom,176,related_to,symptom,448
15,symptom,490,treats,disease,177
16,acupoint,758,supports,disease,408
17,disease,129,supports,symptom,798
18,acupoint,372,related_to,acupoint,799
19,symptom,327,supports,disease,83
20,symptom,402,treats,symptom,163
21,acupoint,188,related_to,acupoint,774
22,acupoint,547,treats,disease,747
23,symptom,651,related_to,acupoint,776
24,disease,458,treats,symptom,422
25,acupoint,604,related_to,acupoint,662
26,acupoint,93,treats,acupoint,252
27,disease,90,related_to,symptom,588
28,acupoint,609,treats,acupoint,621
29,symptom,671,related_to,disease,175
30,symptom,455,treats,acupoint,420
31,disease,1,related_to,disease,54
32,symptom,370,related_to,acupoint,190
33,acupoint,489,related_to,symptom,41
34,acupoint,735,treats,symptom,77
35,acupoint,756,treats,symptom,225
36,acupoint,380,treats,symptom,635
37,acupoint,138,treats,disease,475
38,acupoint,89,supports,acupoint,392
39,acupoint,712,treats,disease,22
40,symptom,148,related_to,disease,675
41,acupoint,329,related_to,disease,410
42,acupoint,702,supports,disease,57
43,disease,447,treats,disease,289
44,acupoint,726,supports,symptom,363
45,acupoint,16,supports,disease,234
46,disease,178,treats,disease,434
47,acupoint,456,related_to,symptom,151
48,acupoint,690,treats,acupoint,203
49,disease,118,treats,symptom,633
50,disease,290,supports,acupoint,446
51,disease,141,treats,symptom,102
52,disease,358,related_to,disease,120
53,symptom,202,related_to,acupoint,476
54,disease,675,related_to,symptom,371
55,disease,431,treats,disease,710
56,acupoint,258,supports,disease,185
57,symptom,47,related_to,disease,72
58,disease,336,related_to,acupoint,524
59,symptom,452,treats,acupoint,507
60,symptom,631,supports,acupoint,177
61,disease,715,treats,acupoint,173
62,disease,574,treats,disease,316
63,disease,791,related_to,acupoint,788
64,disease,173,treats,disease,354
65,disease,800,related_to,acupoint,514
66,disease,587,related_to,disease,584
67,acupoint,170,related_to,disease,792
68,symptom,379,supports,acupoint,388
69,acupoint,429,supports,symptom,43
70,disease,705,related_to,acupoint,203
71,symptom,445,supports,symptom,273
72,acupoint,669,treats,acupoint,610
73,disease,233,supports,disease,641
74,disease,494,supports,disease,179
75,acupoint,401,supports,disease,241
